name,county,land_area
La Mesa,San Diego,9.08
La Mirada,Los Angeles,7.84
La Palma,Orange,1.81
La Puente,Los Angeles,3.48
La Quinta,Riverside,35.12
La Verne,Los Angeles,8.43
Lafayette,Contra Costa,15.22
Laguna Beach,Orange,8.85
Laguna Hills,Orange,6.67
Laguna Niguel,Orange,14.83
Laguna Woods,Orange,3.12
Lake Elsinore,Riverside,36.21
Lake Forest,Orange,17.82
Lakeport,Lake,3.06
Lakewood,Los Angeles,9.41
Lancaster,Los Angeles,94.28
Larkspur,Marin,3.03
Lathrop,San Joaquin,21.93
Lawndale,Los Angeles,1.97
Lemon Grove,San Diego,3.88
Lemoore,Kings,8.52
Lincoln,Placer,20.11
Lindsay,Tulare,2.61
Live Oak,Sutter,1.87
Livermore,Alameda,25.17
Livingston,Merced,3.72
Lodi,San Joaquin,13.61
Loma Linda,San Bernardino,7.52
Lomita,Los Angeles,1.91
Lompoc,Santa Barbara,11.6
Long Beach,Los Angeles,50.29
Loomis,Placer,7.27
Los Alamitos,Orange,4.05
Los Altos,Santa Clara,6.49
Los Altos Hills,Santa Clara,8.8
Los Angeles,Los Angeles,468.67
Los Banos,Merced,9.99
Los Gatos,Santa Clara,11.08
Loyalton,Sierra,0.36
Lynwood,Los Angeles,4.84
Madera,Madera,15.79
Malibu,Los Angeles,19.78
Mammoth Lakes,Mono,24.87
Manhattan Beach,Los Angeles,3.94
Manteca,San Joaquin,17.73
Maricopa,Kern,1.5
Marina,Monterey,8.88
Martinez,Contra Costa,12.13
Marysville,Yuba,3.46
Maywood,Los Angeles,1.18
McFarland,Kern,2.67
Mendota,Fresno,3.28
Menifee,Riverside,46.47
Menlo Park,San Mateo,9.79
Merced,Merced,23.32
Mill Valley,Marin,4.76
Millbrae,San Mateo,3.25
Milpitas,Santa Clara,13.59
Mission Viejo,Orange,17.74
Modesto,Stanislaus,36.87
Monrovia,Los Angeles,13.6
Montague,Siskiyou,1.78
Montclair,San Bernardino,5.52
